user_id,first_name,last_name,email,password,log_id,log_date,daily_calories,daily_proteins,daily_carbs,daily_fats,meal_id,meal_name,meal_time,meal_calories,meal_proteins,meal_carbs,meal_fats,item_id,nutritionix_food_id,food_name,item_calories,item_proteins,item_carbs,item_fats
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,100,39249,Rice,58.02,16.27,24.72,13.40
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,101,34247,Chicken Breast,237.73,11.24,10.51,10.53
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,102,26166,Eggs,225.84,6.11,21.58,6.31
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,103,63072,Cottage Cheese,219.92,16.77,16.25,9.95
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,104,34513,Bread,178.67,12.11,14.52,8.85
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,105,74033,Banana,235.73,9.53,6.41,2.51
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,106,20995,Spinach,197.93,16.86,8.44,5.80
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,107,84200,Oatmeal,262.99,15.00,15.30,7.67
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,108,81346,Bread,80.79,2.12,13.35,11.23
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,10,Dinner,21:02:50,565.71,20.85,41.23,18.69,109,34685,Rice,92.36,14.38,16.71,1.94
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,110,35423,Greek Yogurt,271.22,16.32,18.29,7.69
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,111,65417,Quinoa,108.75,2.70,9.19,7.98
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,112,55728,Cottage Cheese,127.03,12.50,26.58,2.71
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,113,54239,Oatmeal,146.42,14.62,13.84,12.24
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,114,60921,Sweet Potato,280.67,6.09,5.58,8.13
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,115,34651,Spinach,217.40,13.62,5.18,2.06
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,116,20399,Turkey,117.77,19.94,8.69,6.36
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,117,51102,Eggs,170.80,14.49,28.28,8.66
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,118,30879,Salmon,97.13,13.81,19.13,4.63
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,11,Dinner,03:34:50,231.83,26.32,21.64,22.48,119,67888,Chicken Breast,95.99,2.99,5.86,13.83
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,120,73226,Black Beans,59.24,7.53,10.39,4.02
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,121,13766,Avocado,263.26,19.88,21.03,13.21
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,122,15655,Black Beans,92.26,12.48,8.39,9.67
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,123,38863,Black Beans,250.73,7.13,20.92,3.88
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,124,52516,Oatmeal,161.76,12.09,11.01,12.51
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,125,96739,Almonds,256.74,8.59,27.26,5.81
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,126,64302,Pasta,68.71,18.97,6.25,4.86
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,127,10932,Oatmeal,110.57,4.36,22.93,13.69
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,128,59159,Apple,173.20,17.65,20.38,14.76
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,12,Breakfast,21:28:56,309.63,14.34,36.16,12.11,129,52815,Salmon,197.02,15.37,13.84,8.00
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,130,91143,Turkey,187.33,17.73,10.47,14.28
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,131,71604,Broccoli,147.16,12.81,8.58,11.39
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,132,21411,Rice,138.05,10.62,9.52,7.64
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,133,36237,Broccoli,154.38,11.61,16.63,4.70
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,134,13985,Eggs,260.67,12.26,25.01,11.21
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,135,16192,Broccoli,99.04,17.94,12.61,10.82
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,136,85837,Avocado,248.71,18.90,29.43,10.15
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,137,89878,Avocado,250.61,2.61,21.39,6.41
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,138,50564,Avocado,99.25,10.65,9.55,12.99
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,13,Snack,22:19:45,601.10,13.42,44.72,12.64,139,46518,Cottage Cheese,179.96,9.48,9.89,1.89
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,140,36752,Almonds,149.05,8.18,11.88,7.45
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,141,51523,Bread,145.04,11.40,22.88,12.10
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,142,42794,Oatmeal,287.42,19.77,15.61,3.19
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,143,71230,Salmon,256.81,11.15,8.38,9.69
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,144,65442,Almonds,135.99,5.81,13.88,7.04
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,145,41362,Chicken Breast,225.70,18.43,17.43,12.83
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,146,10025,Tuna,149.89,19.84,19.76,10.84
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,147,20479,Tuna,286.90,4.95,28.90,3.65
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,148,64530,Sweet Potato,250.49,4.43,12.90,6.01
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,14,Snack,14:24:50,249.88,14.01,56.94,18.58,149,98018,Cottage Cheese,129.35,11.88,10.82,9.10
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,15,Snack,02:21:31,422.57,16.10,26.63,5.79,150,31436,Greek Yogurt,168.79,14.40,26.22,9.62
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,15,Snack,02:21:31,422.57,16.10,26.63,5.79,151,84286,Apple,154.52,7.29,27.17,3.04
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,15,Snack,02:21:31,422.57,16.10,26.63,5.79,152,18307,Avocado,185.53,7.96,6.71,1.82
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,15,Snack,02:21:31,422.57,16.10,26.63,5.79,153,11785,Chicken Breast,266.77,18.85,23.94,5.72
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,15,Snack,02:21:31,422.57,16.10,26.63,5.79,154,33563,Eggs,70.34,2.66,24.20,3.29
1,Kathleen,Flores,fernandonielsen@example.net,62BGxlOc$W83,1,2024-11-19,1869.60,171.52,261.75,68.22,15,Snack,02:21:31,422.57,16.10,26.63,5.79,155,27010,Cottage Cheese,151.37,8.89,25.91,5.45
